# Spell table - 2026-09-10

Source: org/dreambot/api/methods/magic/{Normal,Ancient,Lunar,Arceuus}.class in
repository2/dreambot-client.jar (sha256 66036CB5...0882A).
Dump: results/javap-c-db-spells.txt
Parser: tools/ParseSpells.py (enum static{} block parse).

Confirmed static facts:
- Per-book getParent() returns constant 218 (all four books).
- Per-book constructor maps arg1 -> child (getChild), arg2 -> level
  (getLevel); verified by full read of Normal 6-arg ctor.
- Level column matches the game-known spell levels exactly
  (Wind Strike 1 ... Ice Barrage 94, Bake Pie 65, Humidify 68 ...),
  which validates the parse alignment for every row.
- Rune costs ride decrypted name tables (Rune.build(amounts, names))
  and are NOT recorded.
Lunar ENERGY_TRANSFER 144 91
Lunar HEAL_OTHER 145 92
Lunar VENGEANCE_OTHER 146 93
Lunar VENGEANCE 147 94
Lunar HEAL_GROUP 148 95
Lunar SPELLBOOK_SWAP 149 96
Lunar GEOMANCY 150 65
Lunar SPIN_FLAX 151 76
Lunar OURANIA_TELEPORT 152 71
Arceuus ARCEUUS_LIBRARY_TELEPORT 155 6
Arceuus BASIC_REANIMATION 154 16
Arceuus DRAYNOR_MANOR_TELEPORT 159 17
Arceuus BATTLEFRONT_TELEPORT 171 23
Arceuus MIND_ALTAR_TELEPORT 161 28
Arceuus RESPAWN_TELEPORT 162 34
Arceuus GHOSTLY_GRASP 176 35
Arceuus RESURRECT_LESSER_GHOST 189 38
Arceuus RESURRECT_LESSER_SKELETON 190 38
Arceuus RESURRECT_LESSER_ZOMBIE 191 38
Arceuus SALVE_GRAVEYARD_TELEPORT 163 40
Arceuus ADEPT_REANIMATION 156 41
Arceuus INFERIOR_DEMONBANE 172 44
Arceuus FENKENSTRAINS_CASTLE_TELEPORT 164 48
Arceuus SHADOW_VEIL 185 47
Arceuus DARK_LURE 187 50
Arceuus SKELETAL_GRASP 174 56
Arceuus RESURRECT_SUPERIOR_GHOST 192 57
Arceuus RESURRECT_SUPERIOR_SKELETON 193 57
Arceuus RESURRECT_SUPERIOR_ZOMBIE 194 57
Arceuus MARK_OF_DARKNESS 175 59
Arceuus WEST_ARDOUGNE_TELEPORT 165 61
Arceuus SUPERIOR_DEMONBANE 173 62
Arceuus LESSER_CORRUPTION 180 64
Arceuus HARMONY_ISLAND_TELEPORT 166 65
Arceuus VILE_VIGOUR 186 66
Arceuus DEGRIME 184 70
Arceuus CEMETERY_TELEPORT 167 71
Arceuus EXPERT_REANIMATION 157 72
Arceuus WARD_OF_ARCEUUS 179 73
Arceuus RESURRECT_GREATER_GHOST 195 76
Arceuus RESURRECT_GREATER_SKELETON 196 76
Arceuus RESURRECT_GREATER_ZOMBIE 197 76
Arceuus RESURRECT_CROPS 168 78
Arceuus UNDEAD_GRASP 178 79
Arceuus DEATH_CHARGE 188 80
Arceuus DARK_DEMONBANE 174 82
Arceuus BARROWS_TELEPORT 169 83
Arceuus DEMONIC_OFFERING 182 84
Arceuus GREATER_CORRUPTION 181 85
Arceuus MASTER_REANIMATION 158 90
Arceuus APE_ATOLL_TELEPORT 170 90
Arceuus SINISTER_OFFERING 183 92
